State,#,(,),*,+,",",;,=,[,],d,else,i,if,int,r,return,void,while,{,},∧,∨,A,A',B,D,D',E,P,R,R',S,S',T
68,,,r14,,,,,,,,,,,,,,,,,,,s54/r14,s53/r14,,,,,,,,,,,,
69,,s77,,,,,r20,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,r33,,,r33,r33,,r33,r33,r33,r33,,,,,,,,76,,,,,,,
71,,,,,,,,,,,s9,,,s8,,,s5,,s6,s7,,,,,,,,,,,,,75,,
72,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,r13,,,,,,,,,,,,r13,,,r13,,,,,,,,,,,,,,,,,
74,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r28,,,,,,r28,,,,,r28,,,,,,,,,r28,,,,,,,,,,,,,,
76,,,,,,,,,,,s9,,,s8,s13,,s5,s12,s6,s7,,,,,,,11,,,,,,4,81,10
77,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,s17,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,
82,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
