State,#,(,),*,+,",",-,/,;,=,[,],d,else,f,float,for,i,if,input,int,print,r,return,void,while,{,},∧,∨,A,A',B,D,D',E,P,R,R',S,S',T
57,r6,s82,r6,r6,r6,r6,r6,r6,r6,s49,s83,r6,,r6,,,,,,,,,r6,,,,,r6,r6,r6,,,,,,,,,,,,
58,,,s85,,,,,,,,,,,,,s8,,,,,s4,,,,s6,,,,,,87,,,,,,,,,,,86
59,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r3,,r3,s44,s45,r3,s43,s42,r3,,,r3,,r3,,,,,,,,,r3,,,,,r3,r3,r3,,,,,,,,,,,,
61,,,,s44,s45,,s43,s42,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r12,,r12,r12,r12,r12,r12,r12,r12,,,r12,,r12,,,,,,,,,r12,,,,,r12,r12,r12,,,,,,,,,,,,
63,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,88,,
64,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,78,,,36,,,,,,
65,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,84,,,36,,,,,,
66,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,89,,,36,,,,,,
67,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,76,,,,,,
69,r9,,r9,s44,r9,r9,r9,s42,r9,,,r9,,r9,,,,,,,,,r9,,,,,r9,r9,r9,,,,,,,,,,,,
70,,s19,s75,,,,,,,,,,s57,,s20,,,s21,,,,,,,,,,,,,,,,,,56,,55,,,,
71,r13,,r13,r13,r13,r13,r13,r13,r13,,,r13,,r13,,,,,,,,,r13,,,,,r13,r13,r13,,,,,,,,,,,,
72,r10,,r10,s44,r10,r10,r10,s42,r10,,,r10,,r10,,,,,,,,,r10,,,,,r10,r10,r10,,,,,,,,,,,,
73,r11,,r11,r11,r11,r11,r11,r11,r11,,,r11,,r11,,,,,,,,,r11,,,,,r11,r11,r11,,,,,,,,,,,,
74,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,81,,
75,r8,,r8,r8,r8,r8,r8,r8,r8,,,r8,,r8,,,,,,,,,r8,,,,,r8,r8,r8,,,,,,,,,,,,
76,,,r20,s44,s45,,s43,s42,r20,,,,,,,,,,,,,,,,,,,,r20,r20,,,,,,,,,,,,
77,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,95,,,,,,
78,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,s65,r19,,,,,,,,,,,,
79,r7,,r7,r7,r7,r7,r7,r7,r7,,,r7,,r7,,,,,,,,,r7,,,,,r7,r7,r7,,,,,,,,,,,,
80,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,r33,,r33,,,,,,r33,,,,,s94,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,
82,,r14,s97,,,,,,,,,,r14,,r14,,,r14,,,,,,,,,,,,,,,,,,,,,70,,,
83,,s19,,,,,,,,,,s93,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,61,,,,,,
84,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,r18,r18,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,s96,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,r35,,r35,,,,,,r35,,,,,r35,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,
89,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,s65,s64,,,,,,,,,,,,
90,,r15,r15,,,,,,,,,,r15,,r15,,,r15,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,100,,
92,,,r17,,,,,,,,,,,,,r17,,,,,r17,,,,r17,,,,,,,,,,,,,,,,,
93,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,103,,
95,r32,,r32,s44,s45,,s43,s42,r32,,,,,r32,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,
96,,,,,,,,,,,,,r42,,,r42,r42,,r42,r42,r42,r42,,r42,r42,r42,r42,,,,,,,,99,,,,,,,
97,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,s101,,,,,,,r25,,s102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,s10,,,s8,s16,,s11,s15,s4,s17,,s14,s6,s13,s12,,,,,,,7,,,,,,3,104,9
100,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,r34,,r34,,,,,,r34,,,,,r34,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,
104,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,s108,,,,,,,,,,,,,,
105,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,109,,
108,,,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,r37,,r37,,,,,,r37,,,,,r37,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,
